,LO,CO,T,CS,FS
734,1.0,1.0,0.5,0.5813953488372093,0.19095543496135503
322,0.4633333333333333,0.0,0.25,0.23255813953488375,0.1364578194375925
460,0.4633333333333333,0.75,1.0,0.11627906976744187,0.15444828153264267
55,0.0,0.0,0.08333333333333334,0.813953488372093,0.03604670284492681
143,0.0,0.75,0.5,0.029069767441860468,0.3296957737214274
506,0.4633333333333333,0.5,0.08333333333333334,0.0,0.740404538727183
165,0.0,0.75,0.16666666666666669,0.23255813953488375,0.15527051471797398
83,0.0,0.5,1.0,0.058139534883720936,0.22055582963328396
714,1.0,0.75,0.5,0.6976744186046512,0.09037987173162308
205,0.0,0.75,0.8750000000000001,0.5813953488372093,0.09304390725209667
687,1.0,0.5,1.0,0.23255813953488375,0.104588061174149
364,0.4633333333333333,0.0,0.5,0.5813953488372093,0.06554842953461601
455,0.4633333333333333,0.75,0.5,0.058139534883720936,0.2690675875678342
699,1.0,0.75,1.0,0.029069767441860468,0.2840256536753823
18,0.0,0.0,0.0,0.11627906976744187,0.21529353724716327
325,0.4633333333333333,0.0,0.5,0.23255813953488375,0.14132543989475416
496,0.4633333333333333,1.0,1.0,0.3488372093023256,0.16102614701529355
186,0.0,0.75,0.08333333333333334,0.4651162790697675,0.12300608452557145
