,CO,T,CS,FS,FT
324,0.6000000000000001,1.0,0.125,0.18468248145430827,58.38
325,0.6000000000000001,0.0,0.25,0.218961441265183,66.79
326,0.6000000000000001,0.08333333333333334,0.25,0.19161164098801658,60.08
327,0.6000000000000001,0.16666666666666669,0.25,0.1907149262248308,59.86
328,0.6000000000000001,0.25,0.25,0.18256297383223277,57.86
329,0.6000000000000001,0.33333333333333337,0.25,0.18672046955245777,58.88
330,0.6000000000000001,0.4166666666666667,0.25,0.1730251895328931,55.52
331,0.6000000000000001,0.5,0.25,0.17192467595989236,55.25
334,0.6000000000000001,0.75,0.25,0.1547648161734735,51.04
337,0.6000000000000001,1.0,0.25,0.13943914567538923,47.28
338,0.6000000000000001,0.0,0.375,0.19140784217820164,60.03
339,0.6000000000000001,0.08333333333333334,0.375,0.17579685334637643,56.2
340,0.6000000000000001,0.16666666666666669,0.375,0.16984592809977986,54.74
341,0.6000000000000001,0.25,0.375,0.16548463356973991,53.67
342,0.6000000000000001,0.33333333333333337,0.375,0.15822939594032767,51.89
343,0.6000000000000001,0.4166666666666667,0.375,0.15333822450476883,50.69
344,0.6000000000000001,0.5,0.375,0.15301214640906494,50.61
347,0.6000000000000001,0.75,0.375,0.1341811363821635,45.99
350,0.6000000000000001,1.0,0.375,0.10952148039455445,39.94
351,0.6000000000000001,0.0,0.5,0.15969674737099532,52.25
352,0.6000000000000001,0.08333333333333334,0.5,0.15072959973913747,50.05
353,0.6000000000000001,0.16666666666666669,0.5,0.1457569087796527,48.83
354,0.6000000000000001,0.25,0.5,0.1383793918643515,47.02
355,0.6000000000000001,0.33333333333333337,0.5,0.14396347925328112,48.39
356,0.6000000000000001,0.4166666666666667,0.5,0.13063503709138335,45.12
357,0.6000000000000001,0.5,0.5,0.13552620852694217,46.32
360,0.6000000000000001,0.75,0.5,0.123787397081601,43.44
363,0.6000000000000001,1.0,0.5,0.10336675633814296,38.43
364,0.6000000000000001,0.0,0.625,0.1435966413956142,48.3
365,0.6000000000000001,0.08333333333333334,0.625,0.1535420233145838,50.74
366,0.6000000000000001,0.16666666666666669,0.625,0.14098801662998284,47.66
367,0.6000000000000001,0.25,0.625,0.14013206162876007,47.45
368,0.6000000000000001,0.33333333333333337,0.625,0.14253688758457647,48.04
369,0.6000000000000001,0.4166666666666667,0.625,0.1299828808999755,44.96
370,0.6000000000000001,0.5,0.625,0.12814869161164094,44.51
371,0.6000000000000001,0.5833333333333334,0.625,0.12606994375152847,44.0
372,0.6000000000000001,0.6666666666666667,0.625,0.12199396755522945,43.0
373,0.6000000000000001,0.75,0.625,0.12048585636259881,42.63
374,0.6000000000000001,0.8333333333333334,0.625,0.11628760088041085,41.6
375,0.6000000000000001,0.9166666666666667,0.625,0.07226705796038149,30.8
376,0.6000000000000001,1.0,0.625,0.10809488872584982,39.59
377,0.6000000000000001,0.0,0.75,0.14249612782261348,48.03
378,0.6000000000000001,0.08333333333333334,0.75,0.13153175185456914,45.34
379,0.6000000000000001,0.16666666666666669,0.75,0.12529550827423167,43.81
380,0.6000000000000001,0.25,0.75,0.1234613189858971,43.36
381,0.6000000000000001,0.33333333333333337,0.75,0.11013287682399933,40.09
382,0.6000000000000001,0.4166666666666667,0.75,0.11661367897611474,41.68
383,0.6000000000000001,0.5,0.75,0.11115187087307407,40.34
386,0.6000000000000001,0.75,0.75,0.10242928181299418,38.2
389,0.6000000000000001,1.0,0.75,0.08722589060079886,34.47
390,0.6000000000000001,0.8750000000000001,0.03125,0.37062851552946924,104.0
391,0.6000000000000001,0.8750000000000001,0.0625,0.2895165892231189,84.1
392,0.6000000000000001,0.8750000000000001,0.125,0.18272601288008472,57.9
393,0.6000000000000001,0.8750000000000001,0.25,0.15301214640906494,50.61
394,0.6000000000000001,0.8750000000000001,0.375,0.1283117306594929,44.55
395,0.6000000000000001,0.8750000000000001,0.5,0.12093421374419172,42.74
396,0.6000000000000001,0.8750000000000001,0.625,0.11359745659085346,40.94
397,0.6000000000000001,0.8750000000000001,0.75,0.08958995679465229,35.05
398,0.6000000000000001,0.625,0.03125,0.3950843727072633,110.0
399,0.6000000000000001,0.625,0.0625,0.3090812749653542,88.9
400,0.6000000000000001,0.625,0.125,0.21166544387380773,65.0
401,0.6000000000000001,0.625,0.25,0.164995516426184,53.55
402,0.6000000000000001,0.625,0.375,0.14726501997228333,49.2
403,0.6000000000000001,0.625,0.5,0.11962990136137602,42.42
404,0.6000000000000001,0.625,0.625,0.12904540637482673,44.73
405,0.6000000000000001,0.625,0.75,0.09757887013939834,37.01
406,0.8,0.0,0.03125,0.690882041248879,182.5706
407,0.8,0.08333333333333334,0.03125,0.6640988016629982,176.0
408,0.8,0.16666666666666669,0.03125,0.643718920681503,171.0
409,0.8,0.25,0.03125,0.627415015896307,167.0
410,0.8,0.33333333333333337,0.03125,0.607035134914812,162.0
411,0.8,0.4166666666666667,0.03125,0.5866552539333169,157.0
412,0.8,0.5,0.03125,0.5600187494905029,150.46461
413,0.8,0.5833333333333334,0.03125,0.5499714681666258,148.0
414,0.8,0.6666666666666667,0.03125,0.5295915871851307,143.0
415,0.8,0.75,0.03125,0.49668215537621246,134.9255
416,0.8,0.8333333333333334,0.03125,0.49290780141843965,134.0
417,0.8,0.9166666666666667,0.03125,0.4725279204369445,129.0
418,0.8,1.0,0.03125,0.4704369446482432,128.487
419,0.8,0.0,0.0625,0.441835819678813,121.4687
420,0.8,0.08333333333333334,0.0625,0.42459444036846816,117.2424
421,0.8,0.16666666666666669,0.0625,0.4236162060813564,117.0
422,0.8,0.25,0.0625,0.42149669845928095,116.484
423,0.8,0.33333333333333337,0.0625,0.40323632509986135,112.0
424,0.8,0.4166666666666667,0.0625,0.3950843727072633,110.0
425,0.8,0.5,0.0625,0.3837531588815521,107.2248
426,0.8,0.5833333333333334,0.0625,0.37470449172576825,105.0
427,0.8,0.6666666666666667,0.0625,0.3665525393331702,103.0
428,0.8,0.75,0.0625,0.36231352408901923,101.962
429,0.8,0.8333333333333334,0.0625,0.3486182440694546,98.6
430,0.8,0.9166666666666667,0.0625,0.33924349881796684,96.3
431,0.8,1.0,0.0625,0.326281894513736,93.124435
432,0.8,0.0,0.125,0.3540392924105323,99.93061683
433,0.8,0.08333333333333334,0.125,0.3226950354609929,92.2358
434,0.8,0.16666666666666669,0.125,0.31723322735795223,90.9
435,0.8,0.25,0.125,0.3003586859052743,86.76386
436,0.8,0.33333333333333337,0.125,0.2944077606586777,85.3
437,0.8,0.4166666666666667,0.125,0.2842178201679302,82.8
438,0.8,0.5,0.125,0.2741093992011086,80.32212
439,0.8,0.5833333333333334,0.125,0.26750631776310424,78.7
440,0.8,0.6666666666666667,0.125,0.2609847558490258,77.1
441,0.8,0.75,0.125,0.2651422515692508,78.1209
442,0.8,0.8333333333333334,0.125,0.25079481535827824,74.6
443,0.8,0.9166666666666667,0.125,0.24712643678160914,73.7
444,0.8,1.0,0.125,0.23999347843808586,71.95342
445,0.8,0.0,0.25,0.27639194587103605,80.88397652
446,0.8,0.08333333333333334,0.25,0.24211298606016132,72.46567
447,0.8,0.16666666666666669,0.25,0.23734409391049152,71.3
448,0.8,0.25,0.25,0.23261596152278466,70.1448
449,0.8,0.33333333333333337,0.25,0.22104018912529547,67.3
450,0.8,0.4166666666666667,0.25,0.2173718105486264,66.4
451,0.8,0.5,0.25,0.2149669845928099,65.8082737
452,0.8,0.5833333333333334,0.25,0.21288823673269744,65.3
453,0.8,0.6666666666666667,0.25,0.21003505339528808,64.6
454,0.8,0.75,0.25,0.20453248553028444,63.25
455,0.8,0.8333333333333334,0.25,0.19862232004565086,61.8
456,0.8,0.9166666666666667,0.25,0.18802478193527347,59.2
457,0.8,1.0,0.25,0.17314746881878204,55.5504
458,0.8,0.0,0.375,0.252099127741094,74.92393582
459,0.8,0.08333333333333334,0.375,0.2246270481780386,68.1770471
460,0.8,0.16666666666666669,0.375,0.21468166625906895,65.73572392
461,0.8,0.25,0.375,0.21606749816581064,66.0844
462,0.8,0.33333333333333337,0.375,0.2137034319719572,65.5
463,0.8,0.4166666666666667,0.375,0.2079970652971386,64.1
